feature,importance,std,test_rows
cheque_count_12m_g39,-0.0005900927632305509,0.0025873895822574326,5000
k_var_sku_price_3m_g40,-0.0006156736647947395,0.0015879631901275367,5000
k_var_sku_price_15d_g49,-0.0006724528079195893,0.004911908235773072,5000
k_var_disc_share_3m_g32,-0.0007009312212248898,0.0011976296044096365,5000
cheque_count_12m_g57,-0.0007539190924801797,0.0014963090410695973,5000
cheque_count_6m_g25,-0.0009407215760150536,0.0010247946634740776,5000
k_var_count_per_cheque_1m_g27,-0.0009748235123025936,0.0021826220269387134,5000
k_var_sku_price_6m_g32,-0.001052234799072541,0.00039365967529578173,5000
k_var_disc_share_3m_g41,-0.001054099706244746,0.0041477152672228035,5000
cheque_count_3m_g57,-0.0012753037959947779,0.001734802884188281,5000
k_var_disc_share_1m_g24,-0.0015035577174982717,0.0009549131657420954,5000
k_var_count_per_cheque_3m_g24,-0.0015713029938923262,0.001895578943625416,5000
k_var_disc_share_1m_g49,-0.001684810655358887,0.0013684051858662938,5000
children,-0.001727670256230875,0.0005439551731901001,5000
cheque_count_12m_g42,-0.0017340745064786667,0.001869156730628763,5000
k_var_count_per_cheque_3m_g32,-0.0017528293010727544,0.0006641492953392046,5000
k_var_disc_share_3m_g27,-0.0018303381369723902,0.0007907491568859992,5000
sale_sum_12m_g44,-0.0019637346620550744,0.0023115644626468383,5000
k_var_sku_price_3m_g33,-0.0020641876530987694,0.0011229831984700437,5000
k_var_sku_price_3m_g32,-0.0021461167162147485,0.0004429882687055968,5000
mean_discount_depth_15d,-0.0021614902196290925,0.0035489751542437313,5000
cheque_count_6m_g52,-0.002394274208454221,0.00011080971032358304,5000
sale_sum_6m_g24,-0.002458475690441641,0.001524977764661207,5000
cheque_count_6m_g21,-0.002531691922746241,0.0012250950019721376,5000
crazy_purchases_cheque_count_3m,-0.002636104543838744,0.003973568980659685,5000
k_var_sku_price_6m_g44,-0.002673737315140909,0.0013107758061133268,5000
k_var_sku_price_1m_g49,-0.0027462890984866553,0.0008803169230823795,5000
k_var_count_per_cheque_3m_g41,-0.002807266766429071,0.004831724536783166,5000
cheque_count_12m_g32,-0.00281955024611842,0.0031764189335629356,5000
months_from_register,-0.0031576348144495697,0.0008463511443792035,5000
cheque_count_3m_g25,-0.003207901227964829,0.0016188571236363336,5000
cheque_count_6m_g40,-0.0033332893564083517,0.0022833934061520164,5000
cheque_count_12m_g25,-0.003691873602450975,0.002509588982805657,5000
